Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2018	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	5/89	6.067683640416921e-07	0.00010470411486925372	0	0	36.97730654761905	529.3345334174518	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	cotranslational protein targeting to membrane (GO:0006613)	5/93	7.556843222758135e-07	0.00010470411486925372	0	0	35.28941761363637	497.4270009908916	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	protein targeting to ER (GO:0045047)	5/97	9.320841086283712e-07	0.00010470411486925372	0	0	33.74830163043478	468.6236105667687	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	viral gene expression (GO:0019080)	5/110	1.7397072193372007e-06	0.0001116148777763566	0	0	29.55059523809524	391.8938984585356	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	5/112	1.9018153394162136e-06	0.0001116148777763566	0	0	28.99532710280374	381.94679421722174	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	viral transcription (GO:0019083)	5/113	1.987208506403976e-06	0.0001116148777763566	0	0	28.72540509259259	377.1295142375612	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	translation (GO:0006412)	6/232	3.92978057290826e-06	0.00018919086472429767	0	0	16.902940336854126	210.3896639089592	EEF1B2;RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	nuclear-transcribed mRNA catabolic process (GO:0000956)	5/174	1.636858959343885e-05	0.0006129127436654325	0	0	18.30066568047337	201.67601370410023	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	peptide biosynthetic process (GO:0043043)	5/174	1.636858959343885e-05	0.0006129127436654325	0	0	18.30066568047337	201.67601370410023	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	rRNA metabolic process (GO:0016072)	5/200	3.19622618683464e-05	0.001026928353921	0	0	15.83974358974359	163.95646784574072	RPL30;RPL13A;RPSA;RPS20;RPS21
GO_Biological_Process_2018	rRNA processing (GO:0006364)	5/202	3.351991659682833e-05	0.001026928353921	0	0	15.67734771573604	161.52952621351378	RPL30;RPL13A;RPSA;RPS20;RPS21
